scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
category,inference,43293,57584.687,18850119.71,0.00,0.00
category,tool,238906,2490.123,214391.40,0.00,0.00
label,kg:entity_search,31160,439.780,60435.84,0.00,0.00
label,kg:id2name,173860,625.957,28209.31,0.00,0.00
label,kg:relation_search,33886,1424.387,125746.25,0.00,0.00
label,llm:generate,43293,57584.687,18850119.71,0.00,0.00
question,WebQTest-1000_058203c22235854bf96557ab2b7c383e,11,6.090,2266.36,0.00,0.00
question,WebQTest-1000_0adacc5f8d85e317c77fbf2ffa83dae9,245,35.123,11487.03,0.00,0.00
question,WebQTest-1000_10aa3b0c992e4e6f4cf624c6c38c727f,39,12.872,4693.42,0.00,0.00
question,WebQTest-1000_11e9758e98422bc42f1d085d6723de33,62,41.054,14082.08,0.00,0.00
question,WebQTest-1000_1d3a86f839023bb35d439f56a673dbe6,403,33.603,11455.65,0.00,0.00
question,WebQTest-1000_27638ce6ed6f359e62d04c2c4e322eee,12,6.170,2297.87,0.00,0.00
question,WebQTest-1000_3f03848605c6758ff2230a955cd92d65,543,54.639,18538.70,0.00,0.00
question,WebQTest-1000_44a6b5c516e23d6ac2381e488680b8ec,163,88.613,29719.77,0.00,0.00
question,WebQTest-1000_457b585da69e504ae79ae4cffde34090,18,14.926,5082.85,0.00,0.00
question,WebQTest-1000_46f65a3745ff73f46fdcecf071f8b144,20,12.747,4228.50,0.00,0.00
question,WebQTest-1000_6099ea03f4fd2476605c4a513318d29c,123,44.558,14826.06,0.00,0.00
question,WebQTest-1000_6b59283873b76d15a3345a52db3b57fc,107,44.563,14682.43,0.00,0.00
question,WebQTest-1000_7457bb008a1da743b19ff9ce3a5cac63,262,19.947,7383.00,0.00,0.00
question,WebQTest-1000_a1edafe051cb7bc171f2beb523d3a90c,24,11.919,4284.01,0.00,0.00
question,WebQTest-1000_a9122e6c3ec58aea7483e18c7074128a,455,84.487,27814.26,0.00,0.00
question,WebQTest-1000_b1236660c5bd74b3c7b1722628aa4861,1074,34.790,10327.25,0.00,0.00
question,WebQTest-1000_b705be2c351eff768fbd4966dca6521b,39,24.706,8279.41,0.00,0.00
question,WebQTest-1000_bd14529a374484364751d86b5e8bda92,135,66.990,21490.67,0.00,0.00
question,WebQTest-1000_c02c16ed967e485700198f36343c66f2,68,35.216,11766.29,0.00,0.00
question,WebQTest-1000_c03787125499031191feea58eae0de36,526,26.841,9811.03,0.00,0.00
question,WebQTest-1000_e1d76e5ac038c985924d768c2027643f,134,63.768,21792.57,0.00,0.00
question,WebQTest-1002_18b698a0c4db4e35a9c98877fc9c40ae,466,30.940,9217.30,0.00,0.00
question,WebQTest-1002_79193cd4e3109a1807db048aaadc03b6,862,33.175,10077.52,0.00,0.00
question,WebQTest-1002_7e0a9b05b43e888a672c7f1d2a9e094d,10,4.365,1565.41,0.00,0.00
question,WebQTest-1002_806620bbf6ca7cf3ced5d4ff130c714d,10,4.286,1572.75,0.00,0.00
question,WebQTest-1002_9a330187030f30935208376dd179f40d,77,30.041,9806.25,0.00,0.00
question,WebQTest-1002_ada3e07cc3c7a687601987704074b18c,132,35.762,10967.78,0.00,0.00
question,WebQTest-1002_b10148119f785c1b05c592f316a7fecf,10,4.986,1557.12,0.00,0.00
question,WebQTest-100_1619341addc048f21b246e33e2458609,11,5.060,1846.99,0.00,0.00
question,WebQTest-100_3fd000b7cbc17c620bb91588e1c3cda3,17,8.086,3023.52,0.00,0.00
question,WebQTest-100_4452032d9871ca0ca5a79f69f4d7b678,6,3.453,1110.47,0.00,0.00
question,WebQTest-100_524908899a8aa334a18a0ac00f8f2fe6,10,5.177,1879.19,0.00,0.00
question,WebQTest-100_7a6ae21348065f95922affec47f394b7,21,11.574,3711.09,0.00,0.00
question,WebQTest-100_7c06421dcc432060b757f798eb1e5bbe,11,6.565,2086.75,0.00,0.00
question,WebQTest-100_8bd4933eb6c9c8e282e9bcc507679588,85,39.475,12919.33,0.00,0.00
question,WebQTest-100_a3580acde8969d20b4fe1090a1be6761,29,16.613,5295.53,0.00,0.00
question,WebQTest-100_aa08b377a001e8fbfcc5a18009ca8197,29,16.656,5815.08,0.00,0.00
question,WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,13,5.672,1964.72,0.00,0.00
question,WebQTest-100_de15ac1f762e3ec1e1261f6d9c81ebf9,16,6.635,2362.91,0.00,0.00
question,WebQTest-1012_07e24dedebc51f2f7a16ea8407dc4e70,49,22.053,6731.76,0.00,0.00
question,WebQTest-1012_0d314d2bc1fed4c1b4af3286a9f2d934,63,26.645,8308.53,0.00,0.00
question,WebQTest-1012_131eaad9f6b360a7166467b5784470d4,7,3.663,1294.63,0.00,0.00
question,WebQTest-1012_3dc4fa43f976cbd1f8582efec490631d,25,13.071,4175.53,0.00,0.00
question,WebQTest-1012_42c78d192f0304e93cd18c38e81a2e82,139,53.061,17234.54,0.00,0.00
question,WebQTest-1012_452686309eaf55a7d72958c7b5ca3b85,129,47.273,15481.60,0.00,0.00
question,WebQTest-1012_46331d861f9bfe55468c5dc860acc243,10,5.850,2171.04,0.00,0.00
question,WebQTest-1012_4bbeb7a85010a50a11be122d46d7cb8b,6,3.570,1331.64,0.00,0.00
question,WebQTest-1012_7186c1abcae6bcdef171df1feb16997a,10,6.074,2163.65,0.00,0.00
question,WebQTest-1012_73741811f34519b29f7d19ccfd4d9553,91,43.433,14575.38,0.00,0.00
question,WebQTest-1012_749d8328c06ef81956af35997f705cfb,85,39.337,13043.13,0.00,0.00
question,WebQTest-1012_7ee41dcd5e0ee726e65a46d891982c8f,4,1.836,654.01,0.00,0.00
question,WebQTest-1012_8602f4a22371baa72ab6965c0f6625d1,72,8.318,2688.40,0.00,0.00
question,WebQTest-1012_872253e47dd6ddaa213ff31eeda8783b,6,3.200,1139.16,0.00,0.00
question,WebQTest-1012_8e45437d6f8f0b6b33ccc14fe553d05c,6,4.327,1369.22,0.00,0.00
question,WebQTest-1012_957f00252168cb71ee9e94af3ea5f07e,11,5.923,1927.84,0.00,0.00
question,WebQTest-1012_a18ced5464828afe303a952032f19671,13,6.752,2130.52,0.00,0.00
question,WebQTest-1012_d55d61f79992802f6a1d27843d24cf2f,6,3.296,1061.14,0.00,0.00
question,WebQTest-1012_e429150c2d7644e06115aa7443c5469b,45,17.376,6102.42,0.00,0.00
question,WebQTest-1012_f1832be83dea7c2c3dbb7d714514ecbf,1154,28.823,8696.82,0.00,0.00
question,WebQTest-1014_334528d6e7e76b73a53c4b72b52cf255,18,8.052,2568.16,0.00,0.00
question,WebQTest-1014_af6b19e16eab1809f29e15c0961f90d5,11,9.059,1973.07,0.00,0.00
question,WebQTest-102_2138a6c1814de01ffc054bed7c94061a,13,5.582,1986.54,0.00,0.00
question,WebQTest-102_f1ebd9f7baa11e682ceb73a3b52a3771,27,13.436,3592.93,0.00,0.00
question,WebQTest-1035_7908752e63d4926a1c38cc60236acad1,19,11.057,3457.53,0.00,0.00
question,WebQTest-106_36ce9951114334bc0a51021ccd3d510a,27,9.113,2850.24,0.00,0.00
question,WebQTest-106_87ddee8816a0dd02511eb7670904d500,12,3.947,1235.49,0.00,0.00
question,WebQTest-106_8a7ae3422867fd4b2d40b06930915468,4,1.808,639.21,0.00,0.00
question,WebQTest-106_904ed63e5448fe33c655f139031cfb74,256,43.674,13581.93,0.00,0.00
question,WebQTest-106_ac6916d7c5822d5edfe0f67c77f97a15,220,16.158,5601.54,0.00,0.00
question,WebQTest-106_adee4fffb5ddcd6fb97a507e2bd95983,48,19.683,6500.83,0.00,0.00
question,WebQTest-106_c8290c381954f40b4b920252a7df33da,56,24.132,7670.91,0.00,0.00
question,WebQTest-106_f21253e8b8df81c378590e68b2cd107e,13,4.046,1399.79,0.00,0.00
question,WebQTest-1072_4fa3b53f1047599414336495b9275a38,72,37.351,12389.71,0.00,0.00
question,WebQTest-1072_5b0246d0bc7172511480c78134ab2e39,77,33.037,10251.46,0.00,0.00
question,WebQTest-1072_66d1d64f0a7a4de1241baa7f8b34c42a,34,16.207,5571.19,0.00,0.00
question,WebQTest-1072_8e6dfa8822e4d4a94104aa4c25644866,34,18.630,6186.82,0.00,0.00
question,WebQTest-1072_92f27159a96f716c1691371e64e5a604,55,20.289,7302.85,0.00,0.00
question,WebQTest-1072_a86f2ebf5f56d7c7a97bcf7f76fa2d8f,28,16.678,5251.40,0.00,0.00
question,WebQTest-1072_a965046ceb8f96e283925e0c41abb69a,33,18.575,6199.81,0.00,0.00
question,WebQTest-1072_b955f51044a2123babff29671bfd4e70,88,25.247,7965.23,0.00,0.00
question,WebQTest-1072_ff336cfd0a1c70f4e9b1a89b268c559d,57,28.207,8998.50,0.00,0.00
question,WebQTest-1091_1e0c62b08e524a90e8318e55c31a5993,48,25.600,8423.82,0.00,0.00
question,WebQTest-1091_2628f11e5d50a222dad0130ac27bc270,15,10.527,2529.91,0.00,0.00
question,WebQTest-1091_2d45e5f27018fef8d4f5f7e2cf000006,39,25.252,7890.73,0.00,0.00
question,WebQTest-1091_31c94b951f3d708ac503327d7979da93,32,10.193,3743.17,0.00,0.00
question,WebQTest-1091_55446dcd04c73520c9a5973c1df50aaa,12,5.715,2139.13,0.00,0.00
question,WebQTest-1091_5b52c9e057d0f0e6704f0b264e864dfc,10,4.976,1841.46,0.00,0.00
question,WebQTest-1091_61efa0b17cc53c2187422d88bf670f22,15,8.629,2856.41,0.00,0.00
question,WebQTest-1091_6a27420dcf0528ae017dd74e40cfd38a,29,18.375,5471.22,0.00,0.00
question,WebQTest-1091_7748f217fe4be83a21d74ddef477d627,25,11.924,4375.03,0.00,0.00
question,WebQTest-1091_843715b5d1b0569540e0316e66763a38,4,2.509,981.04,0.00,0.00
question,WebQTest-1091_9a69191735636d5c80ee0a6dd1153086,52,32.525,11036.91,0.00,0.00
question,WebQTest-1091_9be8c18e016b713cbb7f7feb6badebc7,4,2.278,874.05,0.00,0.00
question,WebQTest-1091_9ec8d61f09759315d481f3e1b8f96bd1,28,14.686,4811.43,0.00,0.00
question,WebQTest-1091_c2f4807a175372c3e75691b565d1936d,44,15.636,5505.16,0.00,0.00
question,WebQTest-1091_ca2edeb3b86bc89bf8b0c915fd46451a,20,12.602,4798.07,0.00,0.00
question,WebQTest-1091_d3301dedbdcb2d171a75be1631e8cec5,13,10.399,2464.24,0.00,0.00
question,WebQTest-1091_e59e67ce229e185f08ce30ce73f32ade,21,14.262,4652.48,0.00,0.00
question,WebQTest-1091_f5779141967bbbc15b40ea3d5df71e93,29,14.228,5173.72,0.00,0.00
question,WebQTest-1103_ae2fa8293b479842e7e236d1e925d808,112,37.014,11411.24,0.00,0.00
question,WebQTest-1108_1988e0b7c1ed7316160b416a7c83b44d,43,14.619,4562.90,0.00,0.00
question,WebQTest-1108_33675738b1c363431ed63babcc989cb8,330,22.789,7703.09,0.00,0.00
question,WebQTest-1119_8c41904eaef9fce2d95afd27eb9150ec,1707,21.706,4697.78,0.00,0.00
question,WebQTest-1119_af822f386c49e89a32d2889d16618e1c,34,9.648,3019.43,0.00,0.00
question,WebQTest-1120_0748ec0755fe09c857c9179e9201eda7,4,2.039,722.40,0.00,0.00
question,WebQTest-1120_08c0146e6ee5281e52c72f9bb9199474,34,13.833,4663.51,0.00,0.00
question,WebQTest-1120_5fd34c6d0f1cf393b2bd58d6e9690993,33,19.037,6174.31,0.00,0.00
question,WebQTest-1120_6c19bc1fe78f2c0015bfd29e5c12767c,52,26.421,8641.59,0.00,0.00
question,WebQTest-1120_b96b735d1d754f27bc8986b614669f7b,43,24.841,7910.62,0.00,0.00
question,WebQTest-1120_c78405f6f2157645f1098f8a871f1bc2,31,17.126,4837.98,0.00,0.00
question,WebQTest-1120_d3a47eb7c473a12bb993b4e47472989a,27,15.372,5745.98,0.00,0.00
question,WebQTest-1120_dfad75afd3c40503f595b4cb6acc43a5,18,10.794,3469.74,0.00,0.00
question,WebQTest-1120_f25e1b6a5f19331858581dc6846ab77d,5,2.778,976.91,0.00,0.00
question,WebQTest-114_05a60a5e9a6d52b6f23993c4868c111f,47,23.364,7367.33,0.00,0.00
question,WebQTest-1168_1591d6a0e6cef93c6863edb2eb0e198f,6,2.689,949.91,0.00,0.00
question,WebQTest-1168_17147c6f2bf24962e9f919a8a53f59e6,34,19.289,5647.82,0.00,0.00
