t,gpu0_w
1786064472.324,34.552
1786064472.437,34.599
1786064472.538,34.658
1786064472.638,34.636
1786064472.738,34.625
1786064472.839,34.593
1786064472.939,34.542
1786064473.039,34.562
1786064473.139,34.578
1786064473.240,34.628
1786064473.340,34.678
1786064473.440,34.627
1786064473.541,34.607
1786064473.641,34.615
1786064473.741,35.954
1786064473.842,39.57
1786064473.942,43.241
1786064474.042,46.889
1786064474.143,50.526
1786064474.243,54.217
1786064474.344,57.923
1786064474.444,61.579
1786064474.544,65.322
1786064474.644,69.002
1786064474.745,72.604
1786064474.845,74.987
1786064474.946,75.093
1786064475.046,75.13
1786064475.146,75.034
1786064475.247,74.938
1786064475.347,74.766
1786064475.447,74.595
1786064475.548,74.449
1786064475.648,74.291
1786064475.748,74.164
1786064475.849,74.121
1786064475.949,73.97
1786064476.049,73.809
1786064476.150,73.652
1786064476.251,73.715
1786064476.352,71.114
1786064476.452,68.148
1786064476.552,65.147
1786064476.653,62.15
1786064476.753,59.129
1786064476.853,56.126
1786064476.953,53.092
1786064477.054,50.132
1786064477.154,47.168
1786064477.257,44.134
1786064477.358,40.99
1786064477.458,40.537
1786064477.558,40.479
1786064477.659,40.399
1786064477.759,40.258
1786064477.859,42.181
1786064477.960,45.635
1786064478.060,74.682
1786064478.160,108.108
1786064478.261,147.07
1786064478.361,177.151
1786064478.462,202.072
1786064478.562,227.037
1786064478.662,252.072
1786064478.763,276.864
1786064478.863,301.496
1786064478.964,323.493
1786064479.064,343.882
1786064479.164,339.282
1786064479.265,330.392
1786064479.365,316.27
1786064479.465,310.996
1786064479.566,310.704
1786064479.670,298.671
1786064479.770,298.325
1786064479.871,298.191
1786064479.971,298.492
1786064480.071,299.091
1786064480.172,300.002
1786064480.272,300.592
1786064480.373,300.651
1786064480.473,300.584
1786064480.573,300.544
1786064480.674,300.762
1786064480.774,301.68
1786064480.874,312.426
1786064480.975,325.641
1786064481.082,329.309
1786064481.182,328.066
1786064481.282,328.285
1786064481.383,328.261
1786064481.483,328.572
1786064481.584,328.652
1786064481.684,328.825
1786064481.785,328.374
1786064481.885,339.023
1786064481.985,328.329
1786064482.086,315.184
1786064482.186,313.205
1786064482.287,304.721
1786064482.387,304.579
1786064482.487,304.58
1786064482.588,304.434
1786064482.688,304.516
1786064482.788,304.448
1786064482.889,304.903
1786064482.989,305.231
1786064483.089,305.25
1786064483.189,305.44
1786064483.290,305.554
1786064483.390,313.871
1786064483.490,313.969
1786064483.590,313.832
1786064483.691,313.863
1786064483.791,313.708
1786064483.891,313.819
1786064483.992,311.718
1786064484.092,312.897
1786064484.192,313.174
1786064484.292,313.026
1786064484.393,312.956
1786064484.493,313.076
1786064484.593,313.003
1786064484.694,313.049
1786064484.794,312.778
1786064484.894,313.009
1786064484.994,312.88
1786064485.095,314.949
1786064485.195,313.913
1786064485.295,313.931
1786064485.397,310.256
1786064485.498,310.388
1786064485.598,310.297
1786064485.698,310.411
1786064485.798,310.173
1786064485.899,309.993
1786064485.999,309.208
1786064486.099,307.006
1786064486.200,306.331
1786064486.300,305.98
1786064486.400,305.734
1786064486.500,309.589
1786064486.601,309.642
1786064486.701,299.606
1786064486.802,298.479
1786064486.902,297.696
1786064487.002,297.379
1786064487.103,297.638
1786064487.203,299.998
1786064487.303,300.731
1786064487.404,301.155
1786064487.504,301.33
1786064487.604,301.285
1786064487.704,301.268
1786064487.805,311.381
1786064487.905,312.509
1786064488.005,306.443
1786064488.106,306.176
1786064488.206,305.736
1786064488.306,305.643
1786064488.407,305.829
1786064488.507,305.637
1786064488.607,305.13
1786064488.708,304.891
1786064488.808,304.802
1786064488.908,304.488
1786064489.009,304.652
1786064489.109,311.431
1786064489.209,312.133
1786064489.310,304.18
1786064489.410,304.277
1786064489.510,304.253
