scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
category,inference,3520,3850.800,1204035.57,0.00,0.00
label,llm:generate,3520,3850.800,1204035.57,0.00,0.00
question,WebQTest-1000_058203c22235854bf96557ab2b7c383e,1,0.821,245.97,0.00,0.00
question,WebQTest-1000_0adacc5f8d85e317c77fbf2ffa83dae9,1,0.818,247.66,0.00,0.00
question,WebQTest-1000_10aa3b0c992e4e6f4cf624c6c38c727f,1,1.174,339.62,0.00,0.00
question,WebQTest-1000_11e9758e98422bc42f1d085d6723de33,1,0.879,277.98,0.00,0.00
question,WebQTest-1000_1d3a86f839023bb35d439f56a673dbe6,1,1.117,340.74,0.00,0.00
question,WebQTest-1000_27638ce6ed6f359e62d04c2c4e322eee,1,1.051,344.50,0.00,0.00
question,WebQTest-1000_3f03848605c6758ff2230a955cd92d65,1,1.123,346.46,0.00,0.00
question,WebQTest-1000_44a6b5c516e23d6ac2381e488680b8ec,1,0.800,253.37,0.00,0.00
question,WebQTest-1000_457b585da69e504ae79ae4cffde34090,1,0.711,185.78,0.00,0.00
question,WebQTest-1000_46f65a3745ff73f46fdcecf071f8b144,1,1.209,345.83,0.00,0.00
question,WebQTest-1000_6099ea03f4fd2476605c4a513318d29c,1,1.480,466.94,0.00,0.00
question,WebQTest-1000_6b59283873b76d15a3345a52db3b57fc,1,0.999,282.02,0.00,0.00
question,WebQTest-1000_7457bb008a1da743b19ff9ce3a5cac63,1,0.853,250.39,0.00,0.00
question,WebQTest-1000_a1edafe051cb7bc171f2beb523d3a90c,1,0.819,250.94,0.00,0.00
question,WebQTest-1000_a9122e6c3ec58aea7483e18c7074128a,1,0.802,250.09,0.00,0.00
question,WebQTest-1000_b1236660c5bd74b3c7b1722628aa4861,1,0.815,247.86,0.00,0.00
question,WebQTest-1000_b705be2c351eff768fbd4966dca6521b,1,1.120,344.64,0.00,0.00
question,WebQTest-1000_bd14529a374484364751d86b5e8bda92,1,0.771,216.98,0.00,0.00
question,WebQTest-1000_c02c16ed967e485700198f36343c66f2,1,1.412,437.06,0.00,0.00
question,WebQTest-1000_c03787125499031191feea58eae0de36,1,0.949,282.04,0.00,0.00
question,WebQTest-1000_e1d76e5ac038c985924d768c2027643f,1,-0.559,216.29,0.00,0.00
question,WebQTest-1002_18b698a0c4db4e35a9c98877fc9c40ae,1,1.120,345.69,0.00,0.00
question,WebQTest-1002_79193cd4e3109a1807db048aaadc03b6,1,1.273,373.27,0.00,0.00
question,WebQTest-1002_7e0a9b05b43e888a672c7f1d2a9e094d,1,1.642,504.33,0.00,0.00
question,WebQTest-1002_806620bbf6ca7cf3ced5d4ff130c714d,1,0.789,218.09,0.00,0.00
question,WebQTest-1002_9a330187030f30935208376dd179f40d,1,1.442,433.41,0.00,0.00
question,WebQTest-1002_ada3e07cc3c7a687601987704074b18c,1,1.313,377.86,0.00,0.00
question,WebQTest-1002_b10148119f785c1b05c592f316a7fecf,1,1.203,346.47,0.00,0.00
question,WebQTest-100_1619341addc048f21b246e33e2458609,1,0.893,282.07,0.00,0.00
question,WebQTest-100_3fd000b7cbc17c620bb91588e1c3cda3,1,0.747,213.20,0.00,0.00
question,WebQTest-100_4452032d9871ca0ca5a79f69f4d7b678,1,0.289,471.60,0.00,0.00
question,WebQTest-100_524908899a8aa334a18a0ac00f8f2fe6,1,1.358,404.15,0.00,0.00
question,WebQTest-100_7a6ae21348065f95922affec47f394b7,1,1.490,436.92,0.00,0.00
question,WebQTest-100_7c06421dcc432060b757f798eb1e5bbe,1,0.810,248.55,0.00,0.00
question,WebQTest-100_8bd4933eb6c9c8e282e9bcc507679588,1,1.380,405.84,0.00,0.00
question,WebQTest-100_a3580acde8969d20b4fe1090a1be6761,1,0.922,283.42,0.00,0.00
question,WebQTest-100_aa08b377a001e8fbfcc5a18009ca8197,1,0.942,279.82,0.00,0.00
question,WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,1,0.857,248.29,0.00,0.00
question,WebQTest-100_de15ac1f762e3ec1e1261f6d9c81ebf9,1,1.281,406.49,0.00,0.00
question,WebQTest-1012_07e24dedebc51f2f7a16ea8407dc4e70,1,0.764,249.08,0.00,0.00
question,WebQTest-1012_0d314d2bc1fed4c1b4af3286a9f2d934,1,1.420,439.80,0.00,0.00
question,WebQTest-1012_131eaad9f6b360a7166467b5784470d4,1,1.499,443.30,0.00,0.00
question,WebQTest-1012_3dc4fa43f976cbd1f8582efec490631d,1,0.874,281.20,0.00,0.00
question,WebQTest-1012_42c78d192f0304e93cd18c38e81a2e82,1,0.798,244.23,0.00,0.00
question,WebQTest-1012_452686309eaf55a7d72958c7b5ca3b85,1,0.769,252.05,0.00,0.00
question,WebQTest-1012_46331d861f9bfe55468c5dc860acc243,1,0.850,250.41,0.00,0.00
question,WebQTest-1012_4bbeb7a85010a50a11be122d46d7cb8b,1,0.178,439.02,0.00,0.00
question,WebQTest-1012_7186c1abcae6bcdef171df1feb16997a,1,1.439,439.37,0.00,0.00
question,WebQTest-1012_73741811f34519b29f7d19ccfd4d9553,1,1.028,312.08,0.00,0.00
question,WebQTest-1012_749d8328c06ef81956af35997f705cfb,1,0.752,218.31,0.00,0.00
question,WebQTest-1012_7ee41dcd5e0ee726e65a46d891982c8f,1,0.833,248.51,0.00,0.00
question,WebQTest-1012_8602f4a22371baa72ab6965c0f6625d1,1,0.997,282.67,0.00,0.00
question,WebQTest-1012_872253e47dd6ddaa213ff31eeda8783b,1,1.062,344.35,0.00,0.00
question,WebQTest-1012_8e45437d6f8f0b6b33ccc14fe553d05c,1,0.984,280.68,0.00,0.00
question,WebQTest-1012_957f00252168cb71ee9e94af3ea5f07e,1,1.050,307.88,0.00,0.00
question,WebQTest-1012_a18ced5464828afe303a952032f19671,1,0.878,283.13,0.00,0.00
question,WebQTest-1012_d55d61f79992802f6a1d27843d24cf2f,1,1.391,438.41,0.00,0.00
question,WebQTest-1012_e429150c2d7644e06115aa7443c5469b,1,1.325,410.41,0.00,0.00
question,WebQTest-1012_f1832be83dea7c2c3dbb7d714514ecbf,1,0.679,214.59,0.00,0.00
question,WebQTest-1014_334528d6e7e76b73a53c4b72b52cf255,1,1.216,345.21,0.00,0.00
question,WebQTest-1014_af6b19e16eab1809f29e15c0961f90d5,1,1.167,343.76,0.00,0.00
question,WebQTest-102_2138a6c1814de01ffc054bed7c94061a,1,1.504,442.08,0.00,0.00
question,WebQTest-102_f1ebd9f7baa11e682ceb73a3b52a3771,1,0.836,250.53,0.00,0.00
question,WebQTest-1035_7908752e63d4926a1c38cc60236acad1,1,0.908,275.95,0.00,0.00
question,WebQTest-106_36ce9951114334bc0a51021ccd3d510a,1,0.960,282.59,0.00,0.00
question,WebQTest-106_87ddee8816a0dd02511eb7670904d500,1,-0.163,340.11,0.00,0.00
question,WebQTest-106_8a7ae3422867fd4b2d40b06930915468,1,0.905,282.64,0.00,0.00
question,WebQTest-106_904ed63e5448fe33c655f139031cfb74,1,1.282,408.75,0.00,0.00
question,WebQTest-106_ac6916d7c5822d5edfe0f67c77f97a15,1,1.429,442.08,0.00,0.00
question,WebQTest-106_adee4fffb5ddcd6fb97a507e2bd95983,1,0.202,474.86,0.00,0.00
question,WebQTest-106_c8290c381954f40b4b920252a7df33da,1,0.729,218.18,0.00,0.00
question,WebQTest-106_f21253e8b8df81c378590e68b2cd107e,1,1.418,436.78,0.00,0.00
question,WebQTest-1072_4fa3b53f1047599414336495b9275a38,1,1.182,343.23,0.00,0.00
question,WebQTest-1072_5b0246d0bc7172511480c78134ab2e39,1,1.427,404.14,0.00,0.00
