t,gpu0_w
1786362771.405,256.045
1786362771.508,235.442
1786362771.612,214.682
1786362771.713,194.016
1786362771.817,173.253
1786362771.921,152.582
1786362772.025,131.911
1786362772.129,111.191
1786362772.233,92.006
1786362772.336,91.74
1786362772.440,91.475
1786362772.540,91.344
1786362772.644,91.177
1786362772.744,91.088
1786362772.847,90.966
1786362772.951,90.86
1786362773.054,88.311
1786362773.158,85.532
1786362773.262,82.788
1786362773.366,80.039
1786362773.467,76.247
1786362773.567,72.311
1786362773.668,72.311
1786362773.768,72.311
1786362773.868,72.311
1786362773.971,72.311
1786362774.072,72.311
1786362774.176,72.311
1786362774.280,72.311
1786362774.385,72.311
1786362774.489,72.311
1786362774.589,47.39
1786362774.690,47.384
1786362774.790,47.384
1786362774.890,47.377
1786362774.990,47.375
1786362775.091,47.37
1786362775.192,48.669
1786362775.292,52.268
1786362775.393,56.342
1786362775.494,59.995
1786362775.594,69.654
1786362775.695,107.892
1786362775.795,138.395
1786362775.895,154.345
1786362775.997,178.75
1786362776.101,203.181
1786362776.204,227.607
1786362776.307,250.273
1786362776.411,269.362
1786362776.515,287.138
1786362776.616,304.852
1786362776.719,308.169
1786362776.819,312.294
1786362776.920,313.041
1786362777.020,313.142
1786362777.121,313.261
1786362777.221,313.396
1786362777.322,313.41
1786362777.422,313.509
1786362777.524,313.589
1786362777.626,313.556
1786362777.727,312.01
1786362777.830,315.324
1786362777.931,315.32
1786362778.031,315.332
1786362778.132,315.252
1786362778.234,315.355
1786362778.338,315.245
1786362778.438,315.263
1786362778.539,315.246
1786362778.642,315.097
1786362778.746,314.944
1786362778.849,316.37
1786362778.951,316.313
1786362779.051,316.29
1786362779.152,314.752
1786362779.252,314.759
1786362779.353,314.759
1786362779.453,314.582
1786362779.554,314.765
1786362779.654,314.942
1786362779.754,314.901
1786362779.858,314.936
1786362779.960,315.111
1786362780.063,315.076
1786362780.164,315.072
1786362780.267,313.525
1786362780.371,315.063
1786362780.472,315.012
1786362780.573,315.092
1786362780.674,314.9
1786362780.775,314.262
1786362780.875,314.255
1786362780.976,314.328
1786362781.077,311.936
1786362781.177,312.079
1786362781.278,312.124
1786362781.379,313.686
1786362781.479,313.144
1786362781.580,313.188
1786362781.680,313.103
1786362781.780,313.166
1786362781.881,311.267
1786362781.981,311.304
1786362782.082,311.288
1786362782.186,313.743
1786362782.288,313.734
1786362782.392,313.745
1786362782.496,314.051
1786362782.600,314.627
1786362782.704,314.694
1786362782.808,313.269
1786362782.912,313.404
1786362783.016,315.888
1786362783.117,315.94
1786362783.219,316.038
1786362783.320,316.035
1786362783.422,316.098
1786362783.523,316.19
1786362783.625,315.916
1786362783.726,315.945
1786362783.828,315.992
1786362783.929,316.231
1786362784.031,316.13
1786362784.132,316.12
1786362784.234,316.138
1786362784.334,316.305
1786362784.436,316.28
1786362784.537,316.243
1786362784.638,316.243
1786362784.739,316.304
1786362784.840,316.441
1786362784.941,316.453
1786362785.042,316.424
1786362785.144,315.522
1786362785.245,315.443
1786362785.346,315.395
1786362785.447,315.34
1786362785.548,315.141
1786362785.649,315.342
1786362785.751,315.404
1786362785.851,315.362
1786362785.952,313.922
1786362786.053,314.127
1786362786.154,314.086
1786362786.255,316.221
1786362786.357,316.267
1786362786.458,316.283
1786362786.559,316.296
1786362786.661,316.222
1786362786.761,315.945
1786362786.863,314.601
1786362786.963,314.58
1786362787.065,314.79
1786362787.167,314.821
1786362787.268,314.945
1786362787.369,314.92
1786362787.470,315.044
1786362787.572,315.025
1786362787.673,312.796
1786362787.775,312.946
1786362787.876,313.105
1786362787.978,314.444
1786362788.079,314.496
1786362788.181,315.742
1786362788.283,315.566
1786362788.384,315.648
1786362788.486,315.87
1786362788.587,315.773
