scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
category,inference,1639,1577.435,492533.13,0.00,0.00
label,llm:generate,1639,1577.435,492533.13,0.00,0.00
question,WebQTest-0,1,1.238,291.04,0.00,0.00
question,WebQTest-1,1,1.212,338.47,0.00,0.00
question,WebQTest-100,1,0.874,245.06,0.00,0.00
question,WebQTest-1000,1,0.111,374.04,0.00,0.00
question,WebQTest-1001,1,1.309,374.57,0.00,0.00
question,WebQTest-1002,1,1.085,342.42,0.00,0.00
question,WebQTest-1003,1,1.236,378.62,0.00,0.00
question,WebQTest-1004,1,1.474,439.92,0.00,0.00
question,WebQTest-1005,1,0.517,155.31,0.00,0.00
question,WebQTest-1006,1,1.377,407.09,0.00,0.00
question,WebQTest-1007,1,0.644,215.81,0.00,0.00
question,WebQTest-1008,1,1.112,315.20,0.00,0.00
question,WebQTest-1009,1,0.766,247.46,0.00,0.00
question,WebQTest-1010,1,0.801,250.44,0.00,0.00
question,WebQTest-1011,1,1.464,439.84,0.00,0.00
question,WebQTest-1012,1,1.028,313.11,0.00,0.00
question,WebQTest-1014,1,0.768,218.78,0.00,0.00
question,WebQTest-1015,1,0.801,251.01,0.00,0.00
question,WebQTest-1017,1,1.040,312.69,0.00,0.00
question,WebQTest-102,1,1.044,312.32,0.00,0.00
question,WebQTest-1020,1,1.011,312.25,0.00,0.00
question,WebQTest-1021,1,2.223,665.03,0.00,0.00
question,WebQTest-1022,1,1.009,313.12,0.00,0.00
question,WebQTest-1024,1,0.769,217.30,0.00,0.00
question,WebQTest-1025,1,0.957,279.44,0.00,0.00
question,WebQTest-1027,1,0.676,216.31,0.00,0.00
question,WebQTest-1028,1,1.376,410.22,0.00,0.00
question,WebQTest-1029,1,0.768,246.79,0.00,0.00
question,WebQTest-103,1,1.447,439.56,0.00,0.00
question,WebQTest-1030,1,0.730,219.04,0.00,0.00
question,WebQTest-1031,1,1.067,308.77,0.00,0.00
question,WebQTest-1032,1,0.785,245.80,0.00,0.00
question,WebQTest-1033,1,0.816,247.93,0.00,0.00
question,WebQTest-1035,1,0.677,187.58,0.00,0.00
question,WebQTest-1036,1,1.044,314.43,0.00,0.00
question,WebQTest-1037,1,1.011,312.07,0.00,0.00
question,WebQTest-1038,1,0.894,275.59,0.00,0.00
question,WebQTest-1039,1,-0.337,217.93,0.00,0.00
question,WebQTest-104,1,0.833,250.12,0.00,0.00
question,WebQTest-1040,1,0.695,219.65,0.00,0.00
question,WebQTest-1041,1,0.907,277.45,0.00,0.00
question,WebQTest-1042,1,0.782,217.00,0.00,0.00
question,WebQTest-1043,1,0.803,249.45,0.00,0.00
question,WebQTest-1044,1,0.822,247.53,0.00,0.00
question,WebQTest-1045,1,1.029,313.29,0.00,0.00
question,WebQTest-1046,1,0.961,276.58,0.00,0.00
question,WebQTest-1047,1,1.081,346.14,0.00,0.00
