t,gpu0_w
1786361186.903,255.856
1786361187.005,236.727
1786361187.105,217.207
1786361187.208,196.891
1786361187.312,178.26
1786361187.412,157.609
1786361187.512,138.139
1786361187.613,119.06
1786361187.713,98.302
1786361187.814,91.842
1786361187.914,91.681
1786361188.014,91.379
1786361188.115,91.43
1786361188.215,91.351
1786361188.315,91.344
1786361188.416,91.246
1786361188.517,91.217
1786361188.619,88.754
1786361188.723,86.035
1786361188.827,82.233
1786361188.927,78.253
1786361189.031,74.271
1786361189.133,70.274
1786361189.237,66.307
1786361189.341,62.358
1786361189.445,58.356
1786361189.549,54.448
1786361189.653,50.507
1786361189.757,48.982
1786361189.861,47.688
1786361189.965,47.499
1786361190.065,47.476
1786361190.168,47.472
1786361190.272,47.421
1786361190.376,47.397
1786361190.480,47.388
1786361190.584,47.383
1786361190.688,49.029
1786361190.792,52.3
1786361190.896,71.715
1786361190.999,92.068
1786361191.102,115.839
1786361191.206,139.974
1786361191.310,164.171
1786361191.414,188.46
1786361191.518,212.738
1786361191.622,236.975
1786361191.726,261.29
1786361191.830,280.621
1786361191.934,301.772
1786361192.038,306.676
1786361192.142,310.607
1786361192.246,311.188
1786361192.350,311.285
1786361192.454,311.356
1786361192.558,311.333
1786361192.662,311.328
1786361192.766,311.436
1786361192.870,311.539
1786361192.971,312.986
1786361193.075,313.028
1786361193.179,313.291
1786361193.283,313.326
1786361193.387,313.212
1786361193.491,313.321
1786361193.595,313.376
1786361193.699,313.433
1786361193.803,313.503
1786361193.904,312.023
1786361194.005,311.843
1786361194.109,313.686
1786361194.213,313.467
1786361194.317,313.175
1786361194.421,313.276
1786361194.525,313.395
1786361194.629,313.382
1786361194.729,311.519
1786361194.833,311.937
1786361194.937,311.973
1786361195.038,313.393
1786361195.142,313.451
1786361195.246,313.562
1786361195.349,313.587
1786361195.453,313.646
1786361195.557,313.583
1786361195.659,312.166
1786361195.763,312.201
1786361195.867,314.038
1786361195.970,313.688
1786361196.074,313.751
1786361196.178,313.961
1786361196.282,314.069
1786361196.386,314.057
1786361196.490,314.173
1786361196.594,314.219
1786361196.694,312.921
1786361196.798,314.402
1786361196.901,314.418
1786361197.005,313.462
1786361197.109,313.511
1786361197.213,313.589
1786361197.317,313.479
1786361197.421,313.416
1786361197.525,313.398
1786361197.629,313.464
1786361197.733,313.528
1786361197.834,314.937
1786361197.938,314.943
1786361198.042,314.965
1786361198.144,314.628
1786361198.248,314.531
1786361198.351,314.375
1786361198.454,314.333
1786361198.558,314.631
1786361198.662,314.6
1786361198.766,314.584
1786361198.866,314.484
1786361198.970,314.367
1786361199.071,312.778
1786361199.175,312.104
1786361199.279,313.54
1786361199.382,313.612
1786361199.486,313.643
1786361199.588,313.73
1786361199.692,313.655
1786361199.795,313.761
1786361199.899,313.792
1786361200.002,312.459
1786361200.104,312.703
1786361200.207,314.272
1786361200.311,314.953
1786361200.414,314.931
1786361200.518,314.965
1786361200.622,314.941
1786361200.726,314.916
1786361200.830,314.787
1786361200.934,314.832
1786361201.037,314.933
1786361201.141,316.487
1786361201.245,316.341
1786361201.349,316.389
1786361201.453,316.388
1786361201.556,316.277
1786361201.659,314.717
1786361201.762,314.721
1786361201.866,314.786
1786361201.970,314.688
1786361202.074,314.576
1786361202.178,313.381
1786361202.279,313.047
1786361202.381,311.633
1786361202.484,311.574
1786361202.588,311.59
1786361202.692,311.7
1786361202.796,313.128
1786361202.901,313.065
1786361203.005,312.909
1786361203.109,313.025
1786361203.209,311.856
1786361203.313,312.81
1786361203.417,313.031
1786361203.521,314.365
1786361203.625,314.351
1786361203.729,314.524
1786361203.833,314.492
1786361203.937,314.558
1786361204.041,314.607
1786361204.144,314.88
1786361204.245,312.701
1786361204.349,314.028
1786361204.453,314.231
1786361204.557,314.235
1786361204.661,314.241
1786361204.761,312.856
1786361204.865,312.706
1786361204.969,312.75
1786361205.073,312.818
1786361205.178,312.954
1786361205.282,312.84
1786361205.386,315.214
1786361205.486,313.547
1786361205.589,313.532
1786361205.693,313.584
1786361205.797,313.793
1786361205.901,315.383
1786361206.005,315.333
1786361206.109,315.427
1786361206.213,315.534
1786361206.317,315.495
1786361206.418,313.814
1786361206.522,313.638
1786361206.626,315.256
1786361206.730,315.215
1786361206.834,315.153
1786361206.938,314.992
1786361207.042,314.828
1786361207.146,314.924
1786361207.246,314.892
1786361207.349,312.497
1786361207.453,312.641
1786361207.557,314.342
1786361207.661,314.423
1786361207.765,314.473
1786361207.869,314.52
1786361207.973,314.596
1786361208.077,314.615
1786361208.182,314.648
1786361208.286,314.643
1786361208.390,314.707
1786361208.491,315.676
1786361208.595,315.564
1786361208.699,315.542
1786361208.803,315.588
1786361208.905,315.581
1786361209.009,315.599
1786361209.109,314.981
1786361209.210,314.981
1786361209.314,314.989
1786361209.415,315.171
1786361208.388,315.296
1786361208.489,315.174
1786361208.593,316.469
1786361208.693,316.415
1786361208.797,314.829
1786361208.901,314.654
1786361209.005,314.494
1786361209.109,314.307
1786361209.213,314.926
1786361209.316,314.882
1786361209.417,314.57
1786361209.519,312.899
1786361209.623,312.99
1786361209.727,312.986
1786361209.831,313.006
1786361209.935,314.567
1786361210.039,314.64
1786361210.139,314.759
1786361210.243,313.559
1786361210.347,313.418
1786361210.451,313.375
1786361210.554,313.451
1786361210.658,314.906
1786361210.762,314.693
1786361210.862,314.692
1786361210.964,313.315
1786361211.067,313.236
1786361211.171,313.111
1786361211.275,313.246
1786361211.379,314.458
1786361211.482,313.417
1786361211.586,313.382
1786361211.686,313.347
1786361211.787,313.319
1786361211.889,312.006
1786361211.993,311.969
1786361212.097,313.285
1786361212.201,313.416
1786361212.302,313.706
1786361212.404,313.572
1786361212.507,311.651
1786361212.611,312.77
1786361212.714,312.886
1786361212.818,312.897
1786361212.922,313.034
1786361213.026,314.548
1786361213.126,314.709
1786361213.230,314.842
1786361213.334,314.836
1786361213.437,314.654
1786361213.539,313.018
1786361213.643,315.018
1786361213.746,315.054
1786361213.850,315.106
1786361213.954,315.139
1786361214.057,315.328
1786361214.161,315.249
1786361214.265,315.187
1786361214.365,313.432
1786361214.469,313.83
1786361214.572,313.73
1786361214.676,315.283
1786361214.779,315.288
1786361214.883,315.2
1786361214.987,315.144
1786361215.090,315.129
1786361215.191,314.925
1786361215.293,313.565
1786361215.397,313.511
1786361215.500,315.277
1786361215.604,314.85
1786361215.708,314.964
1786361215.811,315.067
