t,gpu0_w
1786360436.457,243.978
1786360436.559,243.978
1786360436.662,224.994
1786360436.766,204.371
1786360436.870,185.274
1786360436.973,164.875
1786360437.077,145.669
1786360437.181,125.245
1786360437.284,91.399
1786360437.388,91.199
1786360437.492,90.944
1786360437.592,90.944
1786360437.694,90.853
1786360437.798,90.744
1786360437.902,90.686
1786360438.006,90.624
1786360438.109,90.581
1786360438.213,88.055
1786360438.316,85.364
1786360438.420,81.594
1786360438.524,77.665
1786360438.627,73.759
1786360438.731,69.87
1786360438.835,69.87
1786360438.939,69.87
1786360439.042,69.87
1786360439.146,69.87
1786360439.249,69.87
1786360439.353,69.87
1786360439.455,69.87
1786360439.559,69.87
1786360439.662,47.329
1786360439.766,47.331
1786360439.869,47.324
1786360439.973,47.331
1786360440.073,47.331
1786360440.174,47.331
1786360440.276,47.789
1786360440.379,51.278
1786360440.483,55.166
1786360440.587,58.743
1786360440.691,68.067
1786360440.795,103.234
1786360440.898,124.859
1786360441.002,144.453
1786360441.106,168.625
1786360441.210,190.9
1786360441.313,215.047
1786360441.417,237.485
1786360441.521,254.924
1786360441.625,273.232
1786360441.729,289.236
1786360441.832,296.567
1786360441.936,302.606
1786360442.040,301.643
1786360442.144,306.42
1786360442.248,306.103
1786360442.351,307.261
1786360442.455,305.679
1786360442.559,305.354
1786360442.662,307.536
1786360442.766,305.813
1786360442.870,305.973
1786360442.974,305.784
1786360443.078,306.327
1786360443.182,306.264
1786360443.285,305.525
1786360443.389,306.294
1786360443.493,308.065
1786360443.596,308.006
1786360443.700,307.404
1786360443.804,307.153
1786360443.908,305.48
1786360444.012,306.977
1786360444.115,305.056
1786360444.219,306.336
1786360444.323,306.032
1786360444.427,306.418
1786360444.530,306.561
1786360444.634,305.211
1786360444.738,306.897
1786360444.842,305.545
1786360444.946,307.565
1786360445.046,307.857
1786360445.150,307.787
1786360445.251,308.699
1786360445.355,307.577
1786360445.459,306.646
1786360445.563,305.61
1786360445.666,304.865
1786360445.770,305.175
1786360445.874,305.053
1786360445.977,305.484
1786360446.081,303.775
1786360446.185,305.221
1786360446.289,303.981
1786360446.392,303.342
1786360446.496,304.391
1786360446.600,303.856
1786360446.704,305.813
1786360446.807,305.539
1786360446.911,306.529
1786360447.015,305.262
1786360447.119,306.469
1786360447.222,307.729
1786360447.326,306.663
1786360447.430,307.75
1786360447.534,307.955
1786360447.638,308.074
1786360447.741,307.722
1786360447.845,307.816
1786360447.949,307.501
1786360448.053,306.319
1786360448.157,307.603
1786360448.261,305.542
1786360448.365,305.52
1786360448.468,305.002
1786360448.572,305.165
1786360448.676,305.579
1786360448.780,305.514
1786360448.883,306.446
1786360448.987,306.326
1786360449.091,307.576
1786360449.195,307.554
1786360449.299,307.652
1786360449.403,308.147
1786360449.506,308.211
1786360449.610,308.446
1786360449.712,308.377
1786360449.815,308.372
1786360449.918,308.255
1786360450.021,308.142
1786360450.124,308.015
1786360450.228,307.072
1786360450.331,306.897
1786360450.435,306.866
1786360450.537,306.526
1786360450.640,305.747
1786360450.744,305.721
1786360450.848,305.675
1786360450.952,305.113
1786360451.055,305.406
1786360451.159,306.845
1786360451.263,305.65
1786360451.367,304.651
1786360451.468,306.149
1786360451.569,304.948
1786360451.670,306.608
1786360451.771,305.902
1786360451.871,305.902
1786360451.972,306.0
1786360452.073,306.028
1786360452.173,305.776
1786360452.273,305.53
1786360452.375,305.122
1786360452.475,305.628
1786360452.576,305.84
1786360452.676,305.754
1786360452.780,305.632
1786360452.883,306.122
1786360452.987,306.312
1786360453.091,307.71
1786360453.195,307.789
1786360453.299,308.455
1786360453.402,308.694
1786360453.506,309.039
1786360453.610,308.787
1786360453.713,309.113
1786360453.817,309.644
1786360453.921,309.718
1786360454.025,309.486
1786360454.129,309.756
1786360454.229,309.693
1786360454.333,308.523
1786360454.437,310.048
1786360454.541,308.614
1786360454.643,308.783
1786360454.747,308.48
1786360454.851,309.817
1786360454.954,309.29
1786360455.058,309.565
1786360455.162,309.527
1786360455.263,308.692
1786360455.367,308.76
1786360455.471,308.173
1786360455.575,306.498
1786360455.678,307.477
1786360455.782,305.756
1786360455.886,306.363
1786360455.989,305.264
1786360456.093,305.408
1786360456.197,304.989
1786360456.301,304.871
1786360456.405,305.226
1786360456.508,305.287
1786360456.612,306.907
1786360456.716,307.45
1786360456.820,307.803
1786360456.924,307.544
1786360457.027,308.201
1786360457.131,309.399
1786360457.235,309.143
1786360457.339,308.688
1786360457.443,307.22
1786360457.546,309.219
1786360457.650,307.684
1786360457.754,307.577
1786360457.858,306.459
1786360457.961,306.403
1786360458.065,308.056
1786360458.169,306.948
1786360458.273,306.798
1786360458.377,305.735
1786360458.480,307.495
1786360458.584,307.779
1786360458.688,305.985
1786360458.792,307.342
1786360458.895,307.581
1786360458.999,309.736
1786360459.103,309.706
1786360459.207,309.921
1786360459.309,311.094
1786360459.413,311.246
1786360459.517,311.283
1786360459.620,309.997
1786360459.724,310.947
1786360459.828,311.202
1786360459.930,311.218
1786360460.033,309.917
1786360460.137,309.878
1786360460.241,308.655
1786360460.345,307.172
1786360460.449,307.074
1786360460.550,306.068
1786360460.654,307.305
1786360460.757,307.326
1786360460.861,307.652
1786360460.965,307.03
1786360461.068,307.005
1786360461.172,307.006
1786360461.276,307.18
1786360461.380,307.004
1786360461.484,307.725
1786360461.587,306.983
1786360461.691,308.077
1786360461.795,306.694
1786360461.899,307.914
1786360462.002,306.835
1786360461.015,308.427
1786360461.119,308.431
1786360461.221,307.991
1786360461.323,308.008
1786360461.425,308.114
1786360461.527,308.175
1786360461.630,308.335
1786360461.732,308.257
1786360461.834,309.535
1786360461.936,309.619
1786360462.039,310.524
1786360462.141,310.583
1786360462.243,309.111
1786360462.346,310.878
1786360462.448,309.566
1786360462.550,309.837
1786360462.653,310.425
1786360462.754,309.05
1786360462.857,307.758
1786360462.959,307.771
1786360463.062,305.844
1786360463.165,306.125
1786360463.267,304.13
1786360463.370,305.889
1786360463.473,304.665
1786360463.576,305.835
1786360463.679,305.173
1786360463.782,305.161
1786360463.885,305.25
1786360463.989,306.517
1786360464.092,306.524
1786360464.194,307.58
1786360464.297,306.18
1786360464.401,308.256
1786360464.505,306.971
1786360464.609,305.877
1786360464.712,305.924
1786360464.816,306.682
1786360464.920,306.618
1786360465.024,307.005
1786360465.127,306.359
1786360465.231,306.393
1786360465.335,306.173
1786360465.439,307.23
1786360465.543,305.818
1786360465.646,307.076
1786360465.750,307.943
1786360465.854,307.911
1786360465.958,306.804
1786360466.061,307.114
1786360466.165,306.574
1786360466.269,307.375
1786360466.373,307.502
1786360466.476,307.248
1786360466.580,307.507
1786360466.684,306.567
1786360466.788,306.539
1786360466.891,306.659
1786360466.995,306.784
1786360467.099,307.406
1786360467.203,307.208
1786360467.306,308.003
1786360467.410,307.909
1786360467.514,306.875
1786360467.617,307.941
1786360467.721,306.777
1786360467.825,309.143
1786360467.929,307.754
1786360468.032,307.747
1786360468.136,307.51
1786360468.240,306.521
1786360468.343,306.465
1786360468.447,306.154
1786360468.551,306.353
1786360468.655,307.73
1786360468.756,306.357
1786360468.860,307.462
1786360468.964,305.947
1786360469.065,307.236
