scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
category,inference,1639,491.247,145007.06,0.00,0.00
label,llm:generate,1639,491.247,145007.06,0.00,0.00
question,WebQTest-0,1,1.299,106.00,0.00,0.00
question,WebQTest-1,1,0.546,133.18,0.00,0.00
question,WebQTest-100,1,0.259,86.86,0.00,0.00
question,WebQTest-1000,1,0.618,180.49,0.00,0.00
question,WebQTest-1001,1,0.255,90.19,0.00,0.00
question,WebQTest-1002,1,0.297,87.93,0.00,0.00
question,WebQTest-1003,1,0.297,54.22,0.00,0.00
question,WebQTest-1004,1,0.826,226.36,0.00,0.00
question,WebQTest-1005,1,0.235,86.11,0.00,0.00
question,WebQTest-1006,1,0.489,119.71,0.00,0.00
question,WebQTest-1007,1,0.328,111.44,0.00,0.00
question,WebQTest-1008,1,0.615,174.28,0.00,0.00
question,WebQTest-1009,1,0.242,57.51,0.00,0.00
question,WebQTest-1010,1,0.223,55.94,0.00,0.00
question,WebQTest-1011,1,0.683,176.10,0.00,0.00
question,WebQTest-1012,1,0.151,30.32,0.00,0.00
question,WebQTest-1014,1,0.207,59.18,0.00,0.00
question,WebQTest-1015,1,0.280,79.58,0.00,0.00
question,WebQTest-1017,1,0.247,57.69,0.00,0.00
question,WebQTest-102,1,0.432,117.14,0.00,0.00
question,WebQTest-1020,1,0.221,48.12,0.00,0.00
question,WebQTest-1021,1,0.308,82.21,0.00,0.00
question,WebQTest-1022,1,0.208,52.99,0.00,0.00
question,WebQTest-1024,1,0.224,53.02,0.00,0.00
question,WebQTest-1025,1,0.208,55.88,0.00,0.00
question,WebQTest-1027,1,0.203,51.79,0.00,0.00
question,WebQTest-1028,1,0.452,152.18,0.00,0.00
question,WebQTest-1029,1,0.185,27.63,0.00,0.00
question,WebQTest-103,1,0.451,147.86,0.00,0.00
question,WebQTest-1030,1,0.150,60.60,0.00,0.00
question,WebQTest-1031,1,0.380,90.22,0.00,0.00
question,WebQTest-1032,1,0.204,58.31,0.00,0.00
question,WebQTest-1033,1,0.221,91.16,0.00,0.00
question,WebQTest-1035,1,0.185,27.68,0.00,0.00
question,WebQTest-1036,1,0.183,60.66,0.00,0.00
question,WebQTest-1037,1,0.252,90.66,0.00,0.00
question,WebQTest-1038,1,0.182,27.11,0.00,0.00
question,WebQTest-1039,1,0.235,91.13,0.00,0.00
question,WebQTest-104,1,0.200,57.98,0.00,0.00
question,WebQTest-1040,1,0.183,25.09,0.00,0.00
question,WebQTest-1041,1,0.200,57.23,0.00,0.00
question,WebQTest-1042,1,0.288,90.56,0.00,0.00
question,WebQTest-1043,1,0.201,57.94,0.00,0.00
question,WebQTest-1044,1,0.200,59.29,0.00,0.00
question,WebQTest-1045,1,0.742,215.10,0.00,0.00
question,WebQTest-1046,1,0.220,91.90,0.00,0.00
question,WebQTest-1047,1,0.229,54.80,0.00,0.00
question,WebQTest-1048,1,0.512,143.23,0.00,0.00
question,WebQTest-105,1,0.182,26.98,0.00,0.00
question,WebQTest-1050,1,0.237,58.85,0.00,0.00
question,WebQTest-1051,1,0.238,56.73,0.00,0.00
question,WebQTest-1052,1,0.254,91.42,0.00,0.00
question,WebQTest-1054,1,0.237,56.99,0.00,0.00
question,WebQTest-1055,1,0.573,184.82,0.00,0.00
question,WebQTest-1056,1,0.150,27.59,0.00,0.00
question,WebQTest-1057,1,0.252,89.42,0.00,0.00
question,WebQTest-1059,1,0.217,56.42,0.00,0.00
question,WebQTest-106,1,0.218,59.13,0.00,0.00
question,WebQTest-1060,1,0.183,59.00,0.00,0.00
question,WebQTest-1061,1,0.218,59.58,0.00,0.00
question,WebQTest-1062,1,0.181,23.72,0.00,0.00
question,WebQTest-1063,1,0.270,88.40,0.00,0.00
question,WebQTest-1065,1,0.218,55.24,0.00,0.00
question,WebQTest-1067,1,0.201,58.06,0.00,0.00
question,WebQTest-1068,1,0.341,121.67,0.00,0.00
question,WebQTest-1069,1,0.199,29.38,0.00,0.00
question,WebQTest-107,1,0.182,29.72,0.00,0.00
question,WebQTest-1070,1,0.393,121.20,0.00,0.00
question,WebQTest-1072,1,0.276,83.23,0.00,0.00
question,WebQTest-1074,1,0.148,28.13,0.00,0.00
question,WebQTest-1075,1,0.200,59.63,0.00,0.00
question,WebQTest-1077,1,0.183,60.70,0.00,0.00
question,WebQTest-1078,1,0.183,59.38,0.00,0.00
question,WebQTest-1079,1,0.183,59.35,0.00,0.00
question,WebQTest-108,1,0.263,83.71,0.00,0.00
question,WebQTest-1080,1,0.339,91.06,0.00,0.00
question,WebQTest-1081,1,0.247,88.94,0.00,0.00
question,WebQTest-1082,1,0.451,121.80,0.00,0.00
question,WebQTest-1083,1,0.281,88.50,0.00,0.00
question,WebQTest-1084,1,0.400,119.93,0.00,0.00
question,WebQTest-1085,1,0.144,26.47,0.00,0.00
question,WebQTest-1087,1,0.677,212.19,0.00,0.00
question,WebQTest-1088,1,0.263,89.86,0.00,0.00
question,WebQTest-1089,1,0.247,57.81,0.00,0.00
question,WebQTest-109,1,0.218,56.62,0.00,0.00
question,WebQTest-1090,1,0.181,53.42,0.00,0.00
question,WebQTest-1091,1,0.775,245.31,0.00,0.00
question,WebQTest-1092,1,0.218,55.89,0.00,0.00
question,WebQTest-1094,1,1.667,496.87,0.00,0.00
question,WebQTest-1095,1,0.219,58.36,0.00,0.00
question,WebQTest-1096,1,0.829,248.68,0.00,0.00
question,WebQTest-1097,1,0.341,122.05,0.00,0.00
question,WebQTest-1098,1,0.201,58.75,0.00,0.00
question,WebQTest-1099,1,0.183,58.68,0.00,0.00
question,WebQTest-110,1,0.148,27.40,0.00,0.00
question,WebQTest-1100,1,0.234,59.54,0.00,0.00
question,WebQTest-1101,1,0.979,277.31,0.00,0.00
question,WebQTest-1102,1,0.342,115.80,0.00,0.00
question,WebQTest-1103,1,0.180,58.90,0.00,0.00
question,WebQTest-1104,1,0.180,28.24,0.00,0.00
question,WebQTest-1106,1,0.146,60.71,0.00,0.00
question,WebQTest-1107,1,0.335,89.95,0.00,0.00
question,WebQTest-1108,1,0.323,84.25,0.00,0.00
question,WebQTest-1109,1,0.199,56.16,0.00,0.00
question,WebQTest-111,1,0.200,58.18,0.00,0.00
question,WebQTest-1110,1,0.216,56.74,0.00,0.00
question,WebQTest-1111,1,0.180,59.56,0.00,0.00
question,WebQTest-1113,1,0.231,59.12,0.00,0.00
question,WebQTest-1114,1,0.370,119.98,0.00,0.00
question,WebQTest-1115,1,0.253,84.84,0.00,0.00
question,WebQTest-1116,1,0.198,58.80,0.00,0.00
question,WebQTest-1117,1,0.526,153.45,0.00,0.00
question,WebQTest-1118,1,0.233,59.23,0.00,0.00
question,WebQTest-1119,1,0.422,120.55,0.00,0.00
question,WebQTest-112,1,0.217,59.24,0.00,0.00
question,WebQTest-1120,1,0.198,58.16,0.00,0.00
