scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
category,inference,587,794.684,248471.55,0.00,0.00
category,tool,6720,40.932,4030.64,0.00,0.00
label,kg:entity_search,370,5.172,901.52,0.00,0.00
label,kg:id2name,5862,26.104,1554.39,0.00,0.00
label,kg:relation_search,488,9.656,1574.73,0.00,0.00
label,llm:generate,587,794.684,248471.55,0.00,0.00
question,WebQTest-0,6,3.342,788.87,0.00,0.00
question,WebQTest-1,28,10.749,3150.63,0.00,0.00
question,WebQTest-100,6,3.015,970.70,0.00,0.00
question,WebQTest-102,15,4.291,1329.08,0.00,0.00
question,WebQTest-103,165,10.947,3369.11,0.00,0.00
question,WebQTest-104,6,2.469,761.16,0.00,0.00
question,WebQTest-105,7,3.214,1070.89,0.00,0.00
question,WebQTest-106,190,5.531,1491.41,0.00,0.00
question,WebQTest-107,12,4.946,1527.46,0.00,0.00
question,WebQTest-108,6,4.187,1383.29,0.00,0.00
question,WebQTest-109,1040,14.025,3476.34,0.00,0.00
question,WebQTest-110,23,6.987,2151.23,0.00,0.00
question,WebQTest-111,22,10.200,3131.75,0.00,0.00
question,WebQTest-112,41,16.414,5070.30,0.00,0.00
question,WebQTest-114,34,4.634,1438.20,0.00,0.00
question,WebQTest-115,1076,14.479,3550.63,0.00,0.00
question,WebQTest-116,18,7.941,2509.89,0.00,0.00
question,WebQTest-118,16,8.445,2633.74,0.00,0.00
question,WebQTest-119,62,7.498,2345.14,0.00,0.00
question,WebQTest-12,340,7.272,1918.75,0.00,0.00
question,WebQTest-121,52,14.512,4591.99,0.00,0.00
question,WebQTest-122,6,2.612,810.44,0.00,0.00
question,WebQTest-13,6,2.686,850.75,0.00,0.00
question,WebQTest-14,28,10.743,3200.00,0.00,0.00
question,WebQTest-16,20,9.837,3036.35,0.00,0.00
question,WebQTest-19,38,15.238,4666.21,0.00,0.00
question,WebQTest-20,47,21.148,6127.47,0.00,0.00
question,WebQTest-21,7,3.387,987.40,0.00,0.00
question,WebQTest-22,6,3.220,982.47,0.00,0.00
question,WebQTest-23,6,2.849,845.86,0.00,0.00
question,WebQTest-24,6,2.658,821.80,0.00,0.00
question,WebQTest-26,6,7.007,2084.44,0.00,0.00
question,WebQTest-28,13,3.913,1165.69,0.00,0.00
question,WebQTest-3,1185,12.062,2470.75,0.00,0.00
