t,gpu0_w
1784920750.625,28.699
1784920750.742,28.689
1784920750.843,28.685
1784920750.943,28.673
1784920751.043,28.671
1784920751.143,28.657
1784920751.244,28.642
1784920751.344,28.638
1784920751.444,28.619
1784920751.545,28.641
1784920751.645,28.629
1784920751.745,28.611
1784920751.845,28.593
1784920751.946,28.596
1784920752.046,28.603
1784920752.146,28.586
1784920752.247,28.58
1784920752.347,28.575
1784920752.447,28.565
1784920752.548,28.559
1784920752.648,28.539
1784920752.748,28.543
1784920752.848,28.538
1784920752.949,28.546
1784920753.049,28.557
1784920753.149,28.537
1784920753.249,28.533
1784920753.350,28.519
1784920753.450,28.514
1784920753.550,28.496
1784920753.651,28.485
1784920753.751,28.473
1784920753.852,28.46
1784920753.952,28.46
1784920754.052,28.46
1784920754.153,28.421
1784920754.253,28.433
1784920754.353,28.426
1784920754.453,28.421
1784920754.554,28.411
1784920754.654,28.414
1784920754.754,28.415
1784920754.855,28.418
1784920754.955,28.413
1784920755.055,28.421
1784920755.156,28.423
1784920755.256,28.434
1784920755.356,28.42
1784920755.456,28.558
1784920755.557,30.506
1784920755.657,32.604
1784920755.758,56.223
1784920755.858,93.274
1784920755.958,132.106
1784920756.059,173.244
1784920756.159,183.116
1784920756.259,208.581
1784920756.360,234.16
1784920756.460,259.38
1784920756.560,284.601
1784920756.661,308.17
1784920756.761,331.459
1784920756.861,332.639
1784920756.962,320.287
1784920757.062,303.053
1784920757.162,290.039
1784920757.263,290.802
1784920757.363,290.253
1784920757.463,289.706
1784920757.563,289.423
1784920757.664,288.874
1784920757.764,288.244
1784920757.864,287.86
1784920757.965,288.128
1784920758.065,284.925
1784920758.165,288.087
1784920758.266,297.64
1784920758.366,296.876
1784920758.466,313.18
1784920758.566,319.675
1784920758.667,319.897
1784920758.767,320.237
1784920758.867,320.578
1784920758.968,320.654
1784920759.068,317.109
1784920759.168,320.6
1784920759.268,320.691
1784920759.369,322.535
1784920759.469,323.19
1784920759.569,307.054
1784920759.670,300.586
1784920759.770,293.313
1784920759.870,289.64
1784920759.970,289.662
1784920760.071,285.966
1784920760.171,289.373
1784920760.271,289.374
1784920760.372,289.576
1784920760.472,289.244
1784920760.572,289.655
1784920760.672,289.595
1784920760.773,289.564
1784920760.873,296.807
1784920760.974,300.493
1784920761.074,296.419
1784920761.174,292.362
1784920761.275,286.062
1784920761.375,278.487
1784920761.475,276.224
1784920761.575,274.838
1784920761.676,274.524
1784920761.776,267.296
1784920761.876,265.464
1784920761.977,264.733
1784920762.077,262.917
1784920762.177,265.171
1784920762.277,272.715
1784920762.378,279.188
1784920762.478,284.201
1784920762.578,282.307
1784920762.679,283.904
1784920762.779,284.238
1784920762.879,291.382
1784920762.979,292.968
1784920763.080,292.71
1784920763.180,294.511
1784920763.280,293.707
1784920763.381,294.015
1784920763.481,293.804
1784920763.581,296.492
1784920763.682,300.667
1784920763.782,300.76
1784920763.882,300.62
1784920763.982,300.861
1784920764.083,300.573
1784920764.183,301.469
1784920764.283,301.416
1784920764.385,296.777
1784920764.485,297.151
1784920764.586,297.425
1784920764.686,297.301
1784920764.786,297.381
1784920764.886,294.342
1784920764.987,294.285
1784920765.087,293.548
1784920765.187,294.034
1784920765.288,293.935
1784920765.388,294.075
1784920765.488,301.279
1784920765.589,294.866
1784920765.689,294.659
1784920765.789,295.099
1784920765.889,295.139
1784920765.990,298.071
1784920766.090,297.049
1784920766.190,297.865
1784920766.291,298.213
1784920766.391,298.365
1784920766.491,298.343
1784920766.591,298.376
1784920766.692,304.401
1784920766.792,304.461
1784920766.892,298.213
1784920766.993,298.473
1784920767.093,297.709
1784920767.193,298.769
1784920767.293,298.7
1784920767.394,298.423
1784920767.494,298.519
1784920767.594,298.399
1784920767.695,298.24
1784920767.795,298.322
1784920767.895,298.317
1784920767.996,300.759
1784920768.096,299.256
1784920768.196,299.601
1784920768.297,299.553
1784920768.397,299.52
1784920768.497,298.676
1784920768.597,295.689
1784920768.698,294.365
1784920768.798,291.89
1784920768.899,290.968
1784920768.999,290.69
1784920769.099,297.299
1784920769.200,303.042
1784920769.300,303.042
1784920769.400,298.48
1784920769.501,297.887
1784920769.601,298.827
1784920769.701,301.801
1784920769.801,303.298
1784920769.902,305.738
1784920770.002,305.447
1784920770.103,307.638
1784920770.203,300.441
1784920770.303,293.628
1784920770.404,293.853
1784920770.504,279.513
1784920770.604,261.131
1784920770.708,241.769
1784920770.809,222.459
1784920770.909,192.719
1784920771.010,183.539
1784920771.110,174.127
1784920771.211,175.623
1784920771.311,177.379
1784920771.411,167.931
1784920771.511,178.377
1784920771.612,192.812
1784920771.712,210.403
1784920771.813,229.595
1784920771.913,248.805
1784920772.013,267.469
1784920772.113,286.78
1784920772.214,296.654
1784920772.314,294.385
1784920772.414,292.45
1784920772.515,282.472
1784920772.615,284.301
1784920772.715,285.727
1784920772.816,287.073
1784920772.916,283.915
1784920773.016,283.265
1784920773.117,283.358
1784920773.217,283.265
1784920773.317,284.223
1784920773.417,286.565
1784920773.518,288.313
1784920773.618,298.64
1784920773.718,298.963
1784920773.819,293.582
1784920773.919,273.5
1784920774.019,256.599
1784920774.120,270.719
1784920774.220,285.621
1784920774.320,297.614
1784920774.420,297.907
1784920774.521,298.181
1784920774.621,298.604
1784920774.721,299.328
1784920774.822,299.025
1784920774.922,302.554
1784920775.022,320.897
1784920775.123,339.908
1784920775.223,323.684
1784920775.324,306.106
1784920775.424,293.995
1784920775.524,293.512
1784920775.625,293.287
1784920775.725,276.091
1784920775.825,256.698
1784920775.925,237.736
1784920776.026,220.813
1784920776.126,203.281
1784920776.226,185.038
1784920776.327,168.549
1784920776.428,151.105
1784920776.529,133.373
1784920776.630,114.036
1784920776.730,94.585
1784920776.830,91.624
1784920776.931,91.037
1784920777.031,90.789
1784920777.131,90.516
1784920777.232,90.384
1784920777.332,90.232
1784920777.432,90.193
1784920777.533,87.617
1784920777.633,84.474
1784920777.745,81.537
1784920777.845,78.534
1784920777.946,76.023
1784920778.046,73.424
1784920778.146,70.344
1784920778.247,67.316
1784920778.347,62.893
1784920778.448,58.188
1784920778.548,53.521
1784920778.648,51.421
1784920778.749,49.825
1784920778.849,48.026
1784920778.950,46.301
1784920779.051,44.458
1784920779.151,42.619
1784920779.251,40.779
1784920779.352,38.921
1784920779.453,38.439
1784920779.553,38.211
1784920779.653,37.883
1784920779.755,37.579
1784920779.856,37.353
1784920779.956,37.12
1784920780.056,36.855
1784920780.157,36.291
1784920780.262,35.581
1784920780.363,34.949
1784920780.463,35.206
1784920780.563,36.076
1784920780.664,36.787
1784920780.764,55.21
1784920780.864,74.581
1784920780.965,96.48
1784920781.065,127.514
1784920781.165,141.96
1784920781.266,165.77
1784920781.366,188.11
1784920781.467,208.675
1784920781.567,229.729
1784920781.667,251.46
1784920781.768,274.143
1784920781.868,278.595
1784920781.968,282.125
1784920782.069,282.879
1784920782.169,283.364
1784920782.269,287.2
1784920782.370,287.799
1784920782.470,290.679
1784920782.570,293.686
1784920782.671,296.65
1784920782.771,296.78
1784920782.871,296.344
1784920782.972,295.865
1784920783.072,290.418
1784920783.172,301.692
1784920783.273,299.793
1784920783.373,295.649
1784920783.473,295.067
1784920783.574,293.103
1784920783.674,292.678
1784920783.774,290.8
1784920783.875,291.433
1784920783.975,291.887
1784920784.075,292.941
1784920784.176,298.668
1784920784.276,289.555
1784920784.376,288.822
1784920784.477,288.384
1784920784.577,287.247
1784920784.677,289.096
1784920784.778,290.804
1784920784.878,290.758
1784920784.978,290.049
1784920785.078,288.951
1784920785.179,288.356
1784920785.279,288.078
1784920785.379,286.699
1784920785.480,286.604
1784920785.580,288.466
1784920785.681,290.548
1784920785.781,288.144
1784920785.882,285.926
1784920785.982,286.731
1784920786.082,286.135
1784920786.183,287.9
1784920786.283,289.065
1784920786.383,290.359
1784920786.484,292.274
1784920786.584,295.885
1784920786.684,293.594
1784920786.784,306.273
1784920786.885,309.912
1784920786.985,309.653
1784920787.086,309.819
1784920787.186,312.197
1784920787.286,312.648
1784920787.386,312.563
1784920787.487,312.045
1784920787.587,311.354
1784920787.687,311.002
1784920787.788,312.93
1784920787.888,300.42
1784920787.988,301.277
1784920788.088,296.288
1784920788.189,296.648
1784920788.289,296.709
1784920788.389,296.592
1784920788.490,297.07
1784920788.590,297.764
1784920788.690,298.298
1784920788.791,298.623
1784920788.891,298.259
1784920788.991,297.83
1784920789.092,302.022
1784920789.192,301.893
1784920789.292,301.43
1784920789.393,297.051
1784920789.493,304.865
1784920789.594,303.956
1784920789.694,303.774
1784920789.794,303.637
1784920789.895,303.341
1784920789.995,302.669
1784920790.095,303.578
1784920790.196,304.38
1784920790.296,304.768
1784920790.396,302.829
1784920790.496,306.539
1784920790.597,298.12
1784920790.697,298.883
1784920790.797,293.5
1784920790.898,293.412
1784920790.998,293.211
1784920791.098,293.893
1784920791.199,293.012
1784920791.299,292.262
1784920791.399,292.025
1784920791.500,294.367
1784920791.600,294.928
1784920791.700,295.375
1784920791.800,295.835
1784920791.901,301.239
1784920792.001,301.105
1784920792.101,301.415
1784920792.202,300.194
1784920792.302,301.096
1784920792.402,301.185
1784920792.503,301.895
1784920792.603,301.781
1784920792.703,301.676
1784920792.803,301.472
1784920792.904,301.267
1784920793.004,300.203
1784920793.104,294.116
1784920793.205,310.243
1784920793.305,325.416
1784920793.405,329.596
1784920793.506,330.237
1784920793.606,333.006
1784920793.706,330.093
1784920793.806,330.504
1784920793.907,330.576
1784920794.007,329.896
1784920794.107,330.636
1784920794.208,337.521
1784920794.308,321.251
1784920794.408,307.754
1784920794.508,303.238
1784920794.609,299.432
1784920794.709,298.719
1784920794.809,299.236
1784920794.910,298.85
1784920795.010,298.08
1784920795.110,298.807
1784920795.211,299.378
1784920795.311,298.772
1784920795.411,296.735
1784920795.511,296.296
1784920795.612,296.695
1784920795.712,300.41
1784920795.812,300.532
1784920795.916,297.585
1784920796.016,311.954
1784920796.116,324.976
1784920796.216,330.739
1784920796.317,331.183
1784920796.417,331.326
1784920796.517,333.995
1784920796.618,334.248
1784920796.718,334.54
1784920796.818,334.389
1784920796.919,334.552
1784920797.019,336.843
1784920797.119,322.759
1784920797.219,305.551
1784920797.320,299.639
1784920797.420,298.757
1784920797.520,299.347
1784920797.621,299.3
1784920797.721,299.437
1784920797.821,299.202
1784920797.921,298.309
1784920798.022,298.243
1784920798.122,298.161
1784920798.222,292.835
1784920798.323,299.481
1784920798.423,299.44
1784920798.523,300.012
1784920798.624,299.906
1784920798.724,299.417
1784920798.824,298.851
1784920798.924,298.426
1784920799.025,298.463
1784920799.125,298.397
1784920799.225,299.258
1784920799.326,303.936
1784920799.426,302.901
1784920799.526,302.979
1784920799.626,302.339
1784920799.727,302.183
1784920799.827,299.266
1784920799.927,313.997
1784920800.028,327.65
1784920800.128,337.71
1784920800.228,338.224
1784920800.329,335.554
1784920800.429,333.45
1784920800.529,331.842
1784920800.630,331.805
1784920800.730,331.797
1784920800.830,331.267
1784920800.931,334.583
1784920801.031,319.511
1784920801.131,306.492
1784920801.232,300.742
1784920801.332,300.652
1784920801.432,300.544
1784920801.532,302.791
1784920801.633,304.509
1784920801.733,283.619
1784920801.835,263.277
1784920801.936,248.431
1784920802.036,229.192
1784920802.137,210.716
1784920802.237,191.142
1784920802.337,171.574
1784920802.438,152.01
1784920802.538,132.476
1784920802.638,113.55
1784920802.738,93.692
1784920802.840,93.743
1784920802.940,93.051
1784920803.041,92.794
1784920803.141,104.821
1784920803.241,123.365
1784920803.341,142.706
1784920803.442,161.54
1784920803.542,180.235
1784920803.642,199.147
1784920803.743,218.236
1784920803.843,237.909
1784920803.943,256.68
1784920804.044,275.423
1784920804.144,294.92
1784920804.244,302.386
1784920804.345,303.219
1784920804.445,303.031
1784920804.545,303.36
1784920804.645,304.146
1784920804.746,304.231
1784920804.846,282.092
1784920804.946,278.268
1784920805.047,294.792
1784920805.147,295.112
1784920805.247,294.736
1784920805.348,294.883
1784920805.448,295.001
1784920805.548,292.451
1784920805.649,292.678
1784920805.749,292.51
1784920805.849,292.829
1784920805.950,313.101
1784920806.050,318.268
1784920806.150,302.144
1784920806.250,302.672
1784920806.351,300.136
1784920806.451,316.848
1784920806.551,319.057
1784920806.652,322.052
1784920806.752,322.187
1784920806.852,321.936
1784920806.953,322.41
1784920807.053,321.255
1784920807.153,322.189
1784920807.253,322.444
1784920807.354,322.274
1784920807.454,324.461
1784920807.554,308.131
1784920807.655,307.382
1784920807.755,321.827
1784920807.855,334.529
1784920807.955,345.146
1784920808.056,345.274
1784920808.156,345.305
1784920808.256,344.876
1784920808.357,344.486
1784920808.457,344.461
1784920808.557,345.203
1784920808.658,344.432
1784920808.758,342.096
1784920808.858,326.989
1784920808.958,313.766
1784920809.059,302.703
1784920809.159,301.771
1784920809.259,297.256
1784920809.360,298.094
1784920809.460,298.581
1784920809.560,298.907
1784920809.661,299.148
1784920809.761,299.698
1784920809.861,299.697
1784920809.961,300.43
1784920810.062,300.422
1784920810.162,300.922
1784920810.262,300.898
1784920810.363,310.106
1784920810.463,319.758
1784920810.563,317.555
1784920810.663,317.475
1784920810.764,317.091
1784920810.864,317.112
1784920810.964,317.097
1784920811.065,316.483
1784920811.165,316.758
1784920811.265,317.239
1784920811.365,317.203
1784920811.466,313.203
1784920811.566,298.485
1784920811.667,299.326
1784920811.767,299.017
1784920811.867,299.115
1784920811.967,299.004
1784920812.068,298.101
1784920812.168,298.135
1784920812.268,297.775
1784920812.369,297.613
1784920812.469,298.055
1784920812.569,297.587
1784920812.670,302.122
1784920812.770,302.999
1784920812.870,302.977
1784920812.970,302.271
1784920813.071,300.782
1784920813.171,300.218
1784920813.272,300.239
1784920813.372,300.605
1784920813.472,300.269
1784920813.572,300.207
1784920813.673,300.224
1784920813.773,299.529
1784920813.873,299.496
1784920813.974,299.155
1784920814.074,298.836
1784920814.174,299.344
1784920814.275,300.6
1784920814.376,296.51
1784920814.476,295.71
1784920814.576,296.028
1784920814.676,296.208
1784920814.777,295.78
1784920814.877,296.585
1784920814.977,296.841
1784920815.078,296.227
1784920815.178,296.828
1784920815.278,297.601
1784920815.379,297.941
1784920815.479,302.311
1784920815.579,300.307
1784920815.679,288.72
1784920815.780,291.391
1784920815.880,291.966
1784920815.980,292.308
1784920816.081,291.86
1784920816.181,292.42
1784920816.281,292.364
1784920816.382,292.87
1784920816.482,292.257
1784920816.582,295.197
1784920816.683,306.356
1784920816.783,303.664
1784920816.883,303.862
1784920816.984,303.424
1784920817.084,303.824
1784920817.184,304.465
1784920817.284,304.926
1784920817.385,304.176
1784920817.486,303.727
1784920817.586,304.145
1784920817.686,304.081
1784920817.787,299.566
1784920817.887,299.233
1784920817.987,298.23
1784920818.087,298.35
1784920818.188,298.324
1784920818.288,298.018
1784920818.388,297.389
1784920818.489,297.893
1784920818.589,297.514
1784920818.689,296.788
1784920818.789,294.026
1784920818.890,295.395
1784920818.990,294.708
1784920819.090,295.368
1784920819.191,295.609
1784920819.291,295.947
1784920819.391,296.129
1784920819.492,296.616
1784920819.592,296.031
1784920819.692,297.011
1784920819.793,297.681
1784920819.893,299.871
1784920819.993,303.343
1784920820.093,303.941
1784920820.194,301.514
1784920820.294,300.948
1784920820.394,300.907
1784920820.495,297.521
1784920820.595,297.097
1784920820.695,297.157
1784920820.796,296.792
1784920820.896,296.092
1784920820.996,296.325
1784920821.096,290.521
1784920821.197,305.816
1784920821.297,323.395
1784920821.397,340.225
1784920821.498,355.183
1784920821.598,367.9
1784920821.698,367.837
1784920821.799,367.981
1784920821.899,368.115
1784920821.999,368.181
1784920822.100,368.152
1784920822.200,373.709
1784920822.300,359.22
1784920822.401,342.927
1784920822.501,326.827
1784920822.602,311.604
1784920822.702,301.706
1784920822.802,302.616
1784920822.902,297.295
1784920823.003,277.473
1784920823.103,257.936
1784920823.204,269.108
1784920823.304,272.345
1784920823.404,271.539
1784920823.504,272.921
1784920823.605,273.162
1784920823.705,272.89
1784920823.805,273.392
1784920823.906,273.362
1784920824.006,279.049
1784920824.106,298.553
1784920824.207,317.275
1784920824.307,283.549
1784920824.407,263.391
1784920824.508,260.607
1784920824.610,274.955
1784920824.710,288.862
1784920824.811,304.941
1784920824.911,320.045
1784920825.011,335.275
1784920825.112,348.27
1784920825.212,349.291
1784920825.312,350.869
1784920825.413,370.478
1784920825.513,387.251
1784920825.613,390.309
1784920825.713,376.166
1784920825.814,362.347
1784920825.914,347.087
1784920826.014,331.299
1784920826.115,315.558
1784920826.215,302.941
1784920826.315,302.594
1784920826.416,302.5
1784920826.516,302.882
1784920826.616,297.455
1784920826.716,297.738
1784920826.817,297.59
1784920826.918,296.825
1784920827.018,295.807
1784920827.118,295.527
1784920827.219,295.922
1784920827.319,294.854
1784920827.419,294.157
1784920827.520,293.511
1784920827.620,286.264
1784920827.720,310.857
1784920827.821,324.491
1784920827.921,328.91
1784920828.021,328.705
1784920828.122,329.008
1784920828.222,329.643
1784920828.322,329.436
1784920828.422,329.942
1784920828.523,330.268
1784920828.623,330.634
1784920828.723,337.383
1784920828.824,321.893
1784920828.924,307.128
1784920829.024,300.44
1784920829.125,299.538
1784920829.225,300.129
1784920829.325,300.328
1784920829.426,299.575
1784920829.526,299.582
1784920829.626,299.343
1784920829.727,299.282
1784920829.827,299.399
1784920829.927,299.547
1784920830.027,298.758
1784920830.128,301.004
1784920830.228,302.628
1784920830.328,301.645
1784920830.429,300.733
1784920830.529,298.607
1784920830.629,298.453
1784920830.730,298.161
1784920830.830,298.25
1784920830.930,296.397
1784920831.031,304.468
1784920831.131,319.954
1784920831.231,331.267
1784920831.332,330.954
1784920831.432,331.975
1784920831.532,332.678
1784920831.632,335.929
1784920831.733,336.222
1784920831.833,336.658
1784920831.933,336.831
1784920832.034,338.162
1784920832.134,329.27
1784920832.234,315.169
1784920832.335,297.548
1784920832.435,298.541
1784920832.536,297.362
1784920832.636,297.659
1784920832.736,297.643
1784920832.837,297.553
1784920832.937,297.541
1784920833.037,297.517
1784920833.138,298.227
1784920833.238,298.436
1784920833.338,298.7
1784920833.438,293.742
1784920833.539,295.475
1784920833.639,296.988
1784920833.739,296.957
1784920833.840,296.608
1784920833.940,297.234
1784920834.040,297.749
1784920834.141,297.433
1784920834.241,297.814
1784920834.341,297.805
1784920834.441,297.248
1784920834.542,307.945
1784920834.642,305.853
1784920834.742,300.593
1784920834.843,302.909
1784920834.943,303.246
1784920835.043,303.214
1784920835.144,302.948
1784920835.244,303.153
1784920835.344,303.294
1784920835.444,303.352
1784920835.545,303.88
1784920835.645,300.671
1784920835.745,301.093
1784920835.846,302.033
1784920835.946,299.08
1784920836.046,298.052
1784920836.147,297.101
1784920836.247,296.2
1784920836.347,296.666
1784920836.448,296.829
1784920836.548,296.733
1784920836.648,295.971
1784920836.748,298.948
1784920836.849,296.764
1784920836.949,298.227
1784920837.049,312.239
1784920837.150,326.79
1784920837.250,343.894
1784920837.350,359.736
1784920837.451,375.316
1784920837.551,389.926
1784920837.651,391.151
1784920837.752,391.028
1784920837.852,391.3
1784920837.952,393.568
1784920838.052,395.664
1784920838.153,382.236
1784920838.253,368.298
1784920838.353,352.441
1784920838.454,337.787
1784920838.554,321.078
1784920838.654,303.468
1784920838.755,302.407
1784920838.855,303.37
1784920838.955,303.358
1784920839.055,303.39
1784920839.156,303.062
1784920839.256,302.046
1784920839.356,302.553
1784920839.457,301.762
1784920839.557,301.845
1784920839.657,299.883
1784920839.758,303.311
1784920839.858,303.42
1784920839.958,303.503
1784920840.058,303.344
1784920840.159,302.099
1784920840.259,302.917
1784920840.359,304.474
1784920840.460,304.382
1784920840.560,305.035
1784920840.660,303.712
1784920840.761,306.025
1784920840.861,305.313
1784920840.961,304.852
1784920841.061,304.941
1784920841.162,304.402
1784920841.262,305.62
1784920841.362,300.849
1784920841.463,300.525
1784920841.563,300.02
1784920841.663,299.771
1784920841.764,301.115
1784920841.864,300.768
1784920841.964,300.109
1784920842.065,301.102
1784920842.165,300.596
1784920842.265,301.302
1784920842.365,301.168
1784920842.466,294.526
1784920842.566,298.442
1784920842.666,298.663
1784920842.767,298.731
1784920842.867,298.014
1784920842.967,299.128
1784920843.067,299.405
1784920843.168,299.09
1784920843.268,299.266
1784920843.368,298.28
1784920843.469,298.465
1784920843.569,309.426
1784920843.669,300.894
1784920843.770,301.085
1784920843.870,301.099
1784920843.970,301.844
1784920844.070,301.908
1784920844.171,301.769
